Listid,Listname,Published,Sectorcode,Status,Competitorid,Fiscode,Lastname,Firstname,Nationcode,Gender,Birthdate,Skiclub,Nationalcode,Competitorname,Birthyear,Calculationdate,DHpoints,DHpos,DHSta,SLpoints,SLpos,SLSta,GSpoints,GSpos,GSSta,SGpoints,SGpos,SGSta,ACpoints,ACpos,ACSta
331,"6th FIS points list 2021/2022",1,AL,O,216214,496434,ABAD,Celia,ESP,W,2000-10-24,P-GUARA,,"ABAD Celia",2000,28-09-2021,684.20,793,*,52.47,455,*,43.70,365,*,67.61,305,*,126.31,335,*
331,"6th FIS points list 2021/2022",1,AL,O,253061,6191475,"ABADIE GREVY",Come,FRA,M,2004-12-21,"SC ST GERVAIS",2643410,"ABADIE GREVY Come",2004,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,215778,492308,ABAJO,Jaime,ESP,M,2000-11-03,"Formigal E.C.",,"ABAJO Jaime",2000,28-09-2021,,,,176.84,2970,*,181.22,3112,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,263222,10000381,ABBA,Alessandro,ITA,M,2005-05-11,"S.C. VAL VERMENAGNA A.D.",ITA51333,"ABBA Alessandro",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,42018,820008,ABBAS,Muhammad,PAK,M,1986-02-16,,,"ABBAS Muhammad",1986,28-09-2021,,,,218.19,3220,*,230.35,3369,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,79107,820016,ABBAS,Waseem,PAK,M,1988-03-06,,,"ABBAS Waseem",1988,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,216785,820032,ABBAS,Zahid,PAK,M,1999-01-01,,,"ABBAS Zahid",1999,28-09-2021,,,,228.21,3267,*,349.93,3647,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,161935,265028,ABBASI,Forough,IRI,W,1993-09-15,,,"ABBASI Forough",1993,28-09-2021,,,,134.42,1642,*,207.73,2087,*,468.41,1415,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,230284,6294207,ABBRUZZESE,Marco,ITA,M,2002-08-10,"GRUPPO SPORTIVO FIAMME ORO",ITA45103,"ABBRUZZESE Marco",2002,28-09-2021,43.48,160,*,47.75,571,*,47.77,619,*,47.39,215,*,64.55,151,*
331,"6th FIS points list 2021/2022",1,AL,O,250611,340613,ABDELNOUR,Alexi,LBN,M,2003-09-07,"Active Club",LBN,"ABDELNOUR Alexi",2003,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,252523,755055,ABDI,Blina,MKD,W,2004-08-07,"Shari Akademi",MKD,"ABDI Blina",2004,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,235964,860008,ABDULOV,Nurlan,AZE,M,1989-12-02,,,"ABDULOV Nurlan",1989,28-09-2021,,,,433.94,3677,*,470.60,3762,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,220012,6301043,ABE,Keiya,JPN,M,2001-07-07,,,"ABE Keiya",2001,28-09-2021,,,,120.65,2286,*,120.17,2389,*,363.18,2356,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,197112,6300488,ABE,Kenta,JPN,M,1998-09-08,,,"ABE Kenta",1998,28-09-2021,,,,95.14,1777,*,121.74,2424,*,255.74,2150,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,252572,308372,ABE,Kisara,JPN,W,2004-02-16,,,"ABE Kisara",2004,28-09-2021,,,,65.37,694,*,87.85,1179,*,256.61,1268,*,424.54,844,*
331,"6th FIS points list 2021/2022",1,AL,O,261535,6301790,ABE,Sohei,JPN,M,2005-10-19,,,"ABE Sohei",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,178338,959600,ABEDA,Shannon,ERI,M,1996-05-15,,,"ABEDA Shannon",1996,28-09-2021,999.99,1422,*,221.25,3242,*,132.39,2616,*,999.99,2430,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,246017,550121,ABELE,"Gustavs Harijs",LAT,M,2003-11-26,"SK ASI",,"ABELE Gustavs Harijs",2003,28-09-2021,121.65,723,*,83.17,1489,*,99.11,1957,*,121.56,1195,*,248.36,1085,*
331,"6th FIS points list 2021/2022",1,AL,O,240197,6296045,ABFALTERER,Alissa,ITA,W,2003-09-05,"RENNGEMEINSCHAFT WIPPTAL A.S.V.",ITA47125,"ABFALTERER Alissa",2003,28-09-2021,,,,78.48,908,*,69.74,890,*,114.43,707,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,200894,340448,"ABI RAMIA",Jean,LBN,M,1992-09-25,"Hafroun Al Riadi",,"ABI RAMIA Jean",1992,28-09-2021,,,,469.93,3699,*,495.92,3780,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,217179,340520,"ABI RAMIA",Raed,LBN,M,1993-05-28,"Hafroun Al Riadi",,"ABI RAMIA Raed",1993,28-09-2021,,,,396.52,3634,*,414.60,3720,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,226736,340570,"ABI RAMIA",Wael,LBN,M,1990-12-06,"Hafroun Al riadi",,"ABI RAMIA Wael",1990,28-09-2021,,,,679.60,3774,*,511.01,3784,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,226737,340571,"ABI SAAD",Mikel,LBN,M,1997-08-11,"Hafroun Al riadi",,"ABI SAAD Mikel",1997,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,196279,340444,"ABI SEMAAN",Jawad,LBN,M,1998-08-14,"Kimam Laqlouq",,"ABI SEMAAN Jawad",1998,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,217176,340517,"ABI YOUNESS",Georges,LBN,M,1998-01-12,"Kimam Laqlouq",,"ABI YOUNESS Georges",1998,28-09-2021,,,,,,,938.28,3877,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,191639,340415,"ABI YOUNESS",Oussama,LBN,M,1997-01-20,"Kimam Laqlouq",,"ABI YOUNESS Oussama",1997,28-09-2021,,,,511.59,3733,*,578.76,3818,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,218170,340529,"ABOU HAIDAR",Attieh,LBN,M,1984-03-07,"Army Ski school",,"ABOU HAIDAR Attieh",1984,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,193217,340428,"ABOU HAIDAR",Fawzi,LBN,M,1997-09-18,"Mount Sports",,"ABOU HAIDAR Fawzi",1997,28-09-2021,,,,532.47,3737,*,543.68,3800,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,250520,345185,"ABOU JAOUDE",Maria,LBN,W,2003-08-11,"Faraya Sporting",LBN,"ABOU JAOUDE Maria",2003,28-09-2021,,,,220.41,2128,*,194.98,2044,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,222501,198191,ABOULY,Lois,FRA,W,2001-10-07,"SS LES MENUIRES",2646174,"ABOULY Lois",2001,28-09-2021,52.96,127,*,47.60,372,*,39.00,274,*,47.69,168,*,95.02,211,*
331,"6th FIS points list 2021/2022",1,AL,O,230012,512492,ABPLANALP,Kilian,SUI,M,2002-01-12,Sak-Haslital-brienz,SUI,"ABPLANALP Kilian",2002,28-09-2021,94.92,507,*,56.59,802,*,43.73,503,*,85.58,659,*,114.57,458,*
331,"6th FIS points list 2021/2022",1,AL,O,235525,680078,ABRAMASHVILI,Giorgi,GEO,M,2001-11-15,Bakuriani,0162,"ABRAMASHVILI Giorgi",2001,28-09-2021,,,,302.86,3489,*,252.84,3444,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,93392,680041,ABRAMASHVILI,Iason,GEO,M,1988-04-26,Bakuriani,GEO,"ABRAMASHVILI Iason",1988,28-09-2021,,,,72.14,1184,*,91.29,1783,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,231602,520221,ABRAMOVIC,"Tiriel Luka",TUR,M,2001-10-11,,TUR,"ABRAMOVIC Tiriel Luka",2001,28-09-2021,,,,49.39,622,*,79.21,1468,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,228537,221506,ABRISHAMI,Diaco,GBR,M,2002-03-04,"Team Evolution",GBR,"ABRISHAMI Diaco",2002,28-09-2021,154.89,908,*,66.43,1036,*,78.24,1448,*,108.27,1001,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,225042,265057,ABRISHAMI,Yass,IRI,W,2001-11-16,,,"ABRISHAMI Yass",2001,28-09-2021,,,,537.54,2447,*,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,212299,56499,ABSMANN,Sandra,AUT,W,2000-05-08,,,"ABSMANN Sandra",2000,28-09-2021,46.05,113,*,74.19,840,*,32.13,174,*,44.61,152,*,71.12,112,*
331,"6th FIS points list 2021/2022",1,AL,O,239654,156027,ABSOLINOVA,Julie,CZE,W,2003-10-28,,,"ABSOLINOVA Julie",2003,28-09-2021,,,,,,,285.86,2272,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,249592,125100,ABUDUAINI,Adila,CHN,W,2003-08-08,,,"ABUDUAINI Adila",2003,28-09-2021,,,,,,,464.56,2403,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,253936,6533580,ABUHAIDAR,Jack,USA,M,2004-02-13,"Rowmark Ski Academy",6444650,"ABUHAIDAR Jack",2004,28-09-2021,263.21,1248,*,115.07,2188,*,87.70,1686,*,107.83,996,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,220679,198146,ACCAMBRAY,Louison,FRA,W,2001-10-02,"CS LA CLUSAZ",2637898,"ACCAMBRAY Louison",2001,28-09-2021,86.72,251,*,43.36,300,*,40.16,294,*,59.08,229,*,97.32,219,*
331,"6th FIS points list 2021/2022",1,AL,O,114476,460071,ACHIRILOAIE,"Ioan Valeriu",ROU,M,1990-08-20,"CSM CORONA BRASOV",1675,"ACHIRILOAIE Ioan Valeriu",1990,28-09-2021,96.84,519,*,,,,146.28,2788,*,115.50,1113,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,253628,56672,ACKER,Filippa,AUT,W,2004-03-08,"SC KLAUS WEILER",,"ACKER Filippa",2004,28-09-2021,80.81,224,*,57.99,547,*,65.76,808,*,79.04,399,*,89.34,187,*
331,"6th FIS points list 2021/2022",1,AL,O,256364,225834,ACKERLEY,Emelia,GBR,W,2004-03-06,APX,GBR,"ACKERLEY Emelia",2004,28-09-2021,,,,128.37,1584,*,83.95,1116,*,208.14,1140,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,195428,512278,ACKERMANN,Arne,SUI,M,1998-11-13,"SAS Bern",SUI,"ACKERMANN Arne",1998,28-09-2021,71.52,309,*,162.78,2815,*,53.24,771,*,55.56,294,*,115.36,466,*
331,"6th FIS points list 2021/2022",1,AL,O,118202,206279,ACKERMANN,Christina,GER,W,1990-02-06,"SC Oberstdorf",,"ACKERMANN Christina",1990,28-09-2021,999.99,823,*,16.58,36,*,324.44,2325,*,999.99,1459,*,999.99,928,*
331,"6th FIS points list 2021/2022",1,AL,O,212263,512387,ACKERMANN,Lars,SUI,M,2000-12-10,"SAS Bern",SUI,"ACKERMANN Lars",2000,28-09-2021,253.85,1234,*,139.26,2568,*,107.83,2135,*,228.47,2044,*,386.64,1262,*
331,"6th FIS points list 2021/2022",1,AL,O,220872,512467,ACKERMANN,Nicolas,SUI,M,2001-01-07,"Sc Feusisberg",SUI,"ACKERMANN Nicolas",2001,28-09-2021,60.97,252,*,72.92,1206,*,51.20,719,*,56.55,310,*,98.14,361,*
331,"6th FIS points list 2021/2022",1,AL,O,262212,6533804,ACKLEY,Henry,USA,M,2005-12-05,"Ausblick Ski Race Team",6740989,"ACKLEY Henry",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,229415,20478,ACOSTA,Ty,AND,M,2002-08-21,Ecap,AND,"ACOSTA Ty",2002,28-09-2021,280.28,1268,*,51.74,681,*,52.86,761,*,134.59,1346,*,223.79,1010,*
331,"6th FIS points list 2021/2022",1,AL,O,262629,6100656,ACTON,Sydney,CAN,M,2005-08-15,"GEORGIAN PEAKS",CAN,"ACTON Sydney",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,223539,6301175,ADACHI,Kazuto,JPN,M,1978-05-23,,,"ADACHI Kazuto",1978,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,261228,6533768,ADAIR,Diego,USA,M,2005-06-04,"Team Gilboa Ski Club of MN Inc.",6708611,"ADAIR Diego",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,257491,235382,ADALOGLOU,Christina,GRE,W,1996-06-19,"SXO Esperos Kalamarias",GRE,"ADALOGLOU Christina",1996,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,252273,561455,ADAMEK,Anze,SLO,M,2004-03-14,"ASK KRANJSKA GORA",SLO,"ADAMEK Anze",2004,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,262065,435488,ADAMOWSKA,Marta,POL,W,2005-08-30,"KLub Sportowy Mikolajek",,"ADAMOWSKA Marta",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,195298,40624,ADAMS,Jack,NZL,M,1998-04-02,,,"ADAMS Jack",1998,28-09-2021,,,,43.04,466,*,49.01,645,*,202.86,1913,*,254.31,1098,*
331,"6th FIS points list 2021/2022",1,AL,O,262941,701043,ADAMSKY,Tomas,SVK,M,2005-09-11,"SKI KLUB KREMNICA",,"ADAMSKY Tomas",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,187145,221279,ADAMSON,Tristram,GBR,M,1997-11-27,,GBR,"ADAMSON Tristram",1997,28-09-2021,,,,222.59,3248,*,513.71,3788,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,220876,512469,ADANK,Gian,SUI,M,2001-05-10,Matten,SUI,"ADANK Gian",2001,28-09-2021,67.51,283,*,55.89,786,*,47.83,621,*,59.66,351,*,91.84,307,*
331,"6th FIS points list 2021/2022",1,AL,O,226529,961007,ADIENA,"Buman Ali",AFG,M,1994-11-03,,,"ADIENA Buman Ali",1994,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,252137,507233,ADSTEN,Amber,SWE,W,2004-02-03,"Aare SLK",SWEDEN,"ADSTEN Amber",2004,28-09-2021,161.12,531,*,98.70,1226,*,67.77,853,*,106.36,640,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,148274,511983,AERNI,Luca,SUI,M,1993-03-27,"Les Barzettes",SUI,"AERNI Luca",1993,28-09-2021,33.58,120,*,5.55,26,*,41.25,433,*,27.27,99,*,28.86,22,*
331,"6th FIS points list 2021/2022",1,AL,O,263455,60330,AERTS,Vico,BEL,M,2005-01-27,WeSki,,"AERTS Vico",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,250598,340606,AFIF,Peter,LBN,M,2003-06-30,"CHABEB EL RIYADI BEIRUT",LBN,"AFIF Peter",2003,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,261554,308468,AGARI,Miharu,JPN,W,2005-09-28,,,"AGARI Miharu",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,166907,56258,AGER,Christina,AUT,W,1995-11-11,"WSV Soell - Tirol",,"AGER Christina",1995,28-09-2021,21.82,49,*,100.28,1241,*,69.48,886,*,15.59,29,*,26.25,12,*
331,"6th FIS points list 2021/2022",1,AL,O,192617,745010,AGHAJANYAN,Nune,ARM,W,1997-11-22,"Vanadzor Athletic and winter sports",ARM,"AGHAJANYAN Nune",1997,28-09-2021,,,,,,,446.18,2400,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,218321,740042,AGHAJANYAN,Tigran,ARM,M,1999-05-19,"Vanadzor Winter sports school",ARM,"AGHAJANYAN Tigran",1999,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,251285,860011,AGHAMATOV,Javid,AZE,M,1990-08-11,,,"AGHAMATOV Javid",1990,28-09-2021,,,,789.91,3792,*,534.04,3797,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,257416,340631,AGHNATIOS,Charbel,LBN,M,1997-09-25,"Holiday Beach",lbn,"AGHNATIOS Charbel",1997,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,222080,6295580,AGNELLI,Carole,ITA,W,2001-11-16,"A.S.D. CLUB DE SKI VALTOURNENCHE",ITA43862,"AGNELLI Carole",2001,28-09-2021,86.96,252,*,43.36,300,*,37.05,245,*,54.81,201,*,76.69,133,*
331,"6th FIS points list 2021/2022",1,AL,O,226571,820048,AHMAD,Sajjad,PAK,M,1998-05-08,,,"AHMAD Sajjad",1998,28-09-2021,,,,304.72,3499,*,316.68,3595,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,217396,265053,AHMADI,Atefeh,IRI,W,2000-12-23,,,"AHMADI Atefeh",2000,28-09-2021,,,,115.54,1449,*,180.70,1987,*,380.66,1389,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,201941,260353,AHMADPOUR,Alireza,IRI,M,1998-10-31,,,"AHMADPOUR Alireza",1998,28-09-2021,,,,181.64,3004,*,211.80,3274,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,251365,820055,AHMED,Waqar,PAK,M,1992-01-12,,,"AHMED Waqar",1992,28-09-2021,,,,382.37,3620,*,479.46,3767,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,261327,320525,AHN,Hyunchang,KOR,M,2005-12-15,,KOR,"AHN Hyunchang",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,190205,180812,AHO,Saku,FIN,M,1997-12-29,"Ruka Slalom",,"AHO Saku",1997,28-09-2021,999.99,1422,*,31.36,217,*,55.50,830,*,157.85,1587,*,226.38,1017,*
331,"6th FIS points list 2021/2022",1,AL,O,237841,507168,AICHER,Emma,GER,W,2003-11-13,"SC Mahlstetten",,"AICHER Emma",2003,28-09-2021,,,,22.01,79,*,31.68,168,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,263956,486309,AIDAROVA,Veronika,RUS,W,2005-01-11,,,"AIDAROVA Veronika",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,239440,6296013,AIELLO,Margherita,ITA,W,2003-03-10,"WONDER SKI A.S.D.",ITA46118,"AIELLO Margherita",2003,28-09-2021,,,,100.24,1240,*,97.40,1319,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,220176,6301077,AIHARA,Shiro,JPN,M,2001-01-20,"Tokai Unv.",,"AIHARA Shiro",2001,28-09-2021,,,,34.91,284,*,34.94,282,*,117.08,1132,*,276.43,1150,*
331,"6th FIS points list 2021/2022",1,AL,O,202959,6300695,AIHARA,Taro,JPN,M,1999-03-02,,,"AIHARA Taro",1999,28-09-2021,,,,40.99,408,*,42.33,465,*,214.22,1977,*,331.28,1223,*
331,"6th FIS points list 2021/2022",1,AL,O,263711,6191574,AIME,Leo,FRA,M,2002-10-14,"INTER CLUB NICE",2677880,"AIME Leo",2002,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,238036,6295985,AINA,"Maria Luisa",ITA,W,2003-11-25,"CIRCOLO SCIATORI MADESIMO A.S.D.",ITA47611,"AINA Maria Luisa",2003,28-09-2021,,,,79.47,926,*,99.55,1339,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,219842,6532794,AINSLIE,Rowen,USA,M,2001-08-14,"Crotched Mountain Ski  Ride",6274428,"AINSLIE Rowen",2001,28-09-2021,,,,48.61,595,*,45.21,545,*,292.17,2255,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,236194,270087,AINSWORTH,Alex,IRL,M,2002-08-08,"Ski Club of ireland",,"AINSWORTH Alex",2002,28-09-2021,,,,251.52,3348,*,189.75,3160,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,252840,275056,AINSWORTH,Isobel,IRL,W,2004-01-10,"Ski Club of Ireland",,"AINSWORTH Isobel",2004,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,252839,270094,AINSWORTH,Richard,IRL,M,2004-01-10,"Ski Club of Ireland",,"AINSWORTH Richard",2004,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,256801,790054,"AIT ALI",Abdelhadi,MAR,M,2001-12-12,,,"AIT ALI Abdelhadi",2001,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,256800,790053,"AIT ALI",Abdessamad,MAR,M,2003-06-10,,,"AIT ALI Abdessamad",2003,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,225116,6295665,AIUTI,Beatrice,ITA,W,2001-06-06,"S.C. EUR A.S.D.",ITA43212,"AIUTI Beatrice",2001,28-09-2021,177.27,572,*,117.07,1471,*,76.98,1006,*,132.68,826,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,261540,6301793,AIZAWA,Ren,JPN,M,2005-09-29,,,"AIZAWA Ren",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,246545,961351,AJIBOYE,"Adekunbi Oluwapemi",NGR,W,1990-06-28,,NGR,"AJIBOYE Adekunbi Oluwapemi",1990,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,253999,6301730,AKASAKA,Kazuki,JPN,M,2004-09-29,,,"AKASAKA Kazuki",2004,28-09-2021,,,,291.22,3460,*,492.98,3778,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,262888,6301887,AKASHIO,Kazuki,JPN,M,2005-07-13,,,"AKASHIO Kazuki",2005,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,211503,6300902,AKAZAWA,Yugo,JPN,M,2000-04-26,,,"AKAZAWA Yugo",2000,28-09-2021,,,,124.82,2350,*,103.24,2040,*,214.21,1976,*,999.99,1298,*
331,"6th FIS points list 2021/2022",1,AL,O,227822,260414,AKBARI,Mohammad,IRI,M,1999-10-13,,,"AKBARI Mohammad",1999,28-09-2021,,,,285.40,3449,*,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,256597,516804,AKCHOTI,Carla,SUI,W,2004-05-05,"SAS Basel",SUI,"AKCHOTI Carla",2004,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,213381,6300926,AKEBONO,Kosho,JPN,M,2000-09-16,,,"AKEBONO Kosho",2000,28-09-2021,,,,188.94,3049,*,96.65,1907,*,999.99,2430,*,,,
